"Herd","Year","Sorr.D.Perc","Sorr.D.Perc.Deac","Sorr.D.Perc.LRest","Sorr.Fire.Perc","BA.Perc.Young","BA.Perc.Young.Deac","BA.Perc.Young.LRest","BA.LF.Den","BA.LF.Den.Deac","BA.LF.Den.LRest","lam.BA.Base.t","lam.BA.Deac.t","lam.BA.LRest.t","lam.S.Base.t","lam.S.Deac.t","lam.S.LRest.t","cum.lam.BA.Base","cum.lam.BA.Deac","cum.lam.BA.LRest","cum.lam.S.Base","cum.lam.S.Deac","cum.lam.S.LRest"
"East Side Athabasca",2012,51.7995347510164,51.7995347510164,51.7995347510164,26.2692652132066,25.7020940312802,25.7020940312802,25.7020940312802,1.99358640140255,1.99358640140255,1.99358640140255,0.917775680741492,0.917775680741492,0.917775680741492,0.952125211111735,0.952125211111735,0.952125211111735,0.917775680741492,0.917775680741492,0.917775680741492,0.952125211111735,0.952125211111735,0.952125211111735
"East Side Athabasca",2013,51.7999284542511,51.7999284542511,51.7999284542511,26.2692652132066,25.7020940312802,25.7020940312802,25.7020940312802,2.00146047717052,2.00146047717052,2.00146047717052,0.917591427368522,0.917591427368521,0.917591427368521,0.952123970946546,0.952123970946546,0.952123970946546,0.842143096895702,0.842143096895702,0.842143096895702,0.906541236842023,0.906541236842023,0.906541236842023
"East Side Athabasca",2014,51.8003221574858,51.8003221574858,51.8003221574858,26.2692652132066,25.7020940312802,25.7020940312802,25.7020940312802,2.00933455293849,2.00933455293849,2.00933455293849,0.917407173995551,0.917407173995551,0.917407173995551,0.952122730781356,0.952122730781356,0.952122730781356,0.772588118622948,0.772588118622947,0.772588118622947,0.863138517987936,0.863138517987936,0.863138517987936
"East Side Athabasca",2015,51.8007158607205,51.8007158607205,51.8007158607205,26.2692652132066,25.7020940312802,25.7020940312802,25.7020940312802,2.01720862870646,2.01720862870646,2.01720862870646,0.91722292062258,0.91722292062258,0.91722292062258,0.952121490616167,0.952121490616167,0.952121490616167,0.708635530601645,0.708635530601645,0.708635530601645,0.821812732354903,0.821812732354903,0.821812732354903
"East Side Athabasca",2016,51.8011095639552,31.8792246534267,51.8011095639552,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.02508270447443,0.0314963030718805,2.02508270447443,0.91703866724961,0.964861537598653,0.91703866724961,0.952120250450978,1.01487418791914,0.952120250450978,0.649846182548652,0.68373516765334,0.649846182548652,0.782464544553553,0.834036529370294,0.782464544553553
"East Side Athabasca",2017,51.8015032671899,31.8796183566614,51.8015032671899,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.0329567802424,0.0393703788398506,2.0329567802424,0.916854413876639,0.964677284225683,0.916854413876639,0.952119010285788,1.01487294775395,0.952119010285788,0.595814340810616,0.659583784661416,0.595814340810616,0.744999367744049,0.846441111096507,0.744999367744049
"East Side Athabasca",2018,51.8018969704246,31.8800120598961,51.8018969704246,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.04083085601037,0.0472444546078207,2.04083085601037,0.916670160503669,0.964493030852712,0.916670160503669,0.952117770120599,1.01487170758876,0.952117770120599,0.546165227421255,0.636163963569392,0.546165227421255,0.70932713675772,0.859029135791842,0.70932713675772
"East Side Athabasca",2019,51.8022906736594,31.8804057631309,51.8022906736594,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.04870493177834,0.0551185303757908,2.04870493177834,0.916485907130698,0.964308777479742,0.916485907130698,0.95211652995541,1.01487046742357,0.95211652995541,0.500552733896413,0.613458493986267,0.500552733896413,0.675362092052967,0.871803300571536,0.675362092052967
"East Side Athabasca",2020,51.8026843768941,31.8807994663656,51.8026843768941,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.05657900754631,0.062992606143761,2.05657900754631,0.916301653757728,0.964124524106771,0.916301653757728,0.952115289790221,1.01486922725839,0.952115289790221,0.458657297862236,0.591450378573767,0.458657297862236,0.64302257398834,0.884766341972345,0.64302257398834
"East Side Athabasca",2021,51.8030780801288,31.8811931696003,51.8030780801288,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.06445308331428,0.0708666819117311,2.06445308331428,0.916117400384757,0.963940270733801,0.916117400384757,0.952114049625031,1.0148679870932,0.952114049625031,0.420183931385049,0.570122838048006,0.420183931385049,0.612230826920349,0.897921036525284,0.612230826920349
"East Side Athabasca",2022,51.8034717833635,31.881586872835,51.8034717833635,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.07232715908225,0.0787407576797012,2.07232715908225,0.915933147011787,0.96375601736083,0.915933147011787,0.952112809459842,1.01486674692801,0.952112809459842,0.384860390597292,0.5494593158036,0.384860390597292,0.582912812657056,0.911270201336638,0.582912812657056
"East Side Athabasca",2023,51.8038654865982,31.8819805760697,51.8038654865982,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.08020123485022,0.0866148334476713,2.08020123485022,0.915748893638816,0.96357176398786,0.915748893638816,0.952111569294652,1.01486550676282,0.952111569294652,0.352435476894873,0.529443482168437,0.352435476894873,0.554998032820869,0.924816694677362,0.554998032820869
"East Side Athabasca",2024,51.8042591898329,31.8823742793044,51.8042591898329,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.08807531061819,0.0944889092156414,2.08807531061819,0.915564640265846,0.963387510614889,0.915564640265846,0.952110329129463,1.01486426659763,0.952110329129463,0.322677460620176,0.510059238297529,0.322677460620176,0.528419359695283,0.938563416580983,0.528419359695283
"East Side Athabasca",2025,51.8046528930676,31.8827679825391,51.8046528930676,26.2692652132066,25.7020940312802,25.1435470997451,25.7020940312802,2.09594938638616,0.102362984983612,2.09594938638616,0.915380386892875,0.963203257241919,0.915380386892875,0.952109088964274,1.01486302643244,0.952109088964274,0.295372618744108,0.491290719714512,0.295372618744108,0.50311287515056,0.952513309450146,0.50311287515056
"East Side Athabasca",2026,51.8050465963023,31.8831616857738,31.8831616857738,26.2692652132066,25.7020940312802,25.1435470997451,25.1435470997451,2.10382346215413,0.110237060751582,0.110237060751582,0.915196133519905,0.963019003868948,0.963019003868948,0.952107848799084,1.01486178626725,1.01486178626725,0.270323878622256,0.473122299509528,0.284449445073113,0.479017717262722,0.966669358671905,0.510590031169349
"East Side Athabasca",2027,51.805440299537,31.8835553890085,31.8835553890085,26.2692652132066,25.7020940312802,25.1435470997451,25.1435470997451,2.1116975379221,0.118111136519552,0.118111136519552,0.915011880146934,0.962834750495978,0.962834750495978,0.952106608633895,1.01486054610206,1.01486054610206,0.247349560426763,0.45553859120234,0.27387781047569,0.456075934258561,0.981034593241897,0.518177677866793
"East Side Athabasca",2028,51.8058340027718,31.8839490922433,31.8839490922433,26.2692652132066,25.7020940312802,25.1435470997451,25.1435470997451,2.11957161369007,0.125985212287522,0.125985212287522,0.914827626773964,0.962650497123007,0.962650497123007,0.952105368468706,1.01485930593687,1.01485930593687,0.226282211348798,0.438524451279647,0.263648610405384,0.434232345436956,0.995612086397532,0.525877438511873
"East Side Athabasca",2029,51.8062277060065,31.884342795478,31.884342795478,26.2692652132066,25.7020940312802,25.1435470997451,25.1435470997451,2.12744568945804,0.133859288055492,0.133859288055492,0.914643373400993,0.962466243750037,0.962466243750037,0.952104128303516,1.01485806577168,1.01485806577168,0.206967525128701,0.422064981415667,0.253752887726787,0.413434408733444,1.01040495626031,0.533690960081126
"East Side Athabasca",2030,51.8066214092412,31.8847364987127,31.8847364987127,26.2692652132066,25.7020940312802,25.1435470997451,25.1435470997451,2.13531976522601,0.141733363823462,0.141733363823462,0.914459120028023,0.962281990377066,0.962281990377066,0.952102888138327,1.01485682560649,1.01485682560649,0.18926334090357,0.406145530385128,0.244181833865661,0.393632094610874,1.0254163664874,0.541619913602812
"East Side Athabasca",2031,51.8070151124759,31.8851302019474,31.8851302019474,26.2692652132066,25.7020940312802,25.1435470997451,25.1435470997451,2.14319384099398,0.149607439591432,0.149607439591432,0.914274866655052,0.962097737004096,0.962097737004096,0.952101647973138,1.0148555854413,1.0148555854413,0.173038715767301,0.39075169567786,0.234926789779662,0.374777765974131,1.04064952693266,0.54966599450605
